Fam3d	15.78605	1.6044813	3.8813982620864917e-56	1.5148321137271158e-52		
Ehf	15.227093	2.4346266	2.337587717840395e-52	5.701960840742184e-49		
Gfpt1	14.444279	1.1298862	2.723921723848226e-47	4.832237138106752e-44		
Golm1	12.759406	0.8993207	2.762999420711551e-37	3.8512264782689436e-34		
Creb3l1	12.727399	1.6942103	4.164851641609587e-37	5.418194328957965e-34		
Rplp1	12.361071	0.65536094	4.2446352039890697e-35	5.176863210665169e-32		
Cd24a	12.128628	1.6976179	7.448730237724614e-34	8.075251214386561e-31		
Eef1a1	12.092522	0.50590396	1.1568059483619114e-33	1.188100593491281e-30		
Tceal9	11.242766	1.1534623	2.5137911342525784e-29	2.132787834513253e-26		
Rps19	10.616477	0.7466328	2.498123036342644e-26	1.949934917247614e-23		
A4gnt	10.5317745	1.6107808	6.166093734808291e-26	4.456487153372185e-23		
Rpl15	10.510696	0.5554703	7.712178938857487e-26	5.189498614236724e-23		
Rpl23	10.427165	0.47237474	1.8636533098793534e-25	1.2122443562995234e-22		
Ostc	10.410576	0.8282184	2.2187482213106123e-25	1.3966662190533963e-22		
Cgref1	10.334266	1.520062	4.931732139097597e-25	3.007431905073453e-22		
Rpl14	10.312212	0.61125225	6.205618997782569e-25	3.5616602683155605e-22		
Slc35a3	10.243123	1.3411098	1.2706698419732016e-24	7.084528941790016e-22		
Gpx2	10.03449	1.2080985	1.0751344634371705e-23	5.521098399871828e-21		
Rps24	10.007948	0.44329593	1.406400839791743e-23	7.037052817357967e-21		
H2az1	9.567262	0.6344405	1.0977500614931472e-21	5.3553736749943185e-19		
Rpl27a	9.562382	0.5764722	1.1507691620636374e-21	5.477099860612152e-19		
Rps12	9.491927	0.47344857	2.2680221015656042e-21	1.040889155753577e-18		
Eef1b2	9.490756	0.626743	2.293647314615343e-21	1.040889155753577e-18		
Rpl5	9.484901	0.5068742	2.4261328697385807e-21	1.0759899277290607e-18		
Rplp0	9.425375	0.52597326	4.28570639580766e-21	1.8180711871258843e-18		
